[02:21:27 2015-04-21] [ERROR] {src/socks5/socks5.c:593} connect error.
[02:21:27 2015-04-21] [ERROR] {src/socks5/socks5.c:655} auth error.
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
[02:21:41 2015-04-21] [ERROR] {src/socks5/socks5.c:707} read error [0].
